Timestamp,R,G,B,Detected Color
2025-03-17 12:48:19,255,22,40,Tractor Red
2025-03-17 12:48:19,255,22,42,Tractor Red
2025-03-17 12:48:19,255,22,40,Tractor Red
2025-03-17 12:48:19,255,22,42,Tractor Red
2025-03-17 12:48:19,255,22,44,Tractor Red
2025-03-17 12:48:20,255,20,38,Tractor Red
2025-03-17 12:48:20,255,22,44,Tractor Red
2025-03-17 12:48:20,255,20,33,Tractor Red
2025-03-17 12:48:20,255,20,38,Tractor Red
2025-03-17 12:48:20,255,20,38,Tractor Red
2025-03-17 12:48:20,255,21,46,Tractor Red
2025-03-17 12:48:20,255,20,40,Tractor Red
2025-03-17 12:48:20,255,20,33,Tractor Red
2025-03-17 12:48:20,255,20,38,Tractor Red
2025-03-17 12:48:20,255,20,38,Tractor Red
2025-03-17 12:48:20,255,22,40,Tractor Red
2025-03-17 12:48:20,255,22,44,Tractor Red
2025-03-17 12:48:20,255,22,42,Tractor Red
2025-03-17 12:48:20,255,22,42,Tractor Red
2025-03-17 12:48:20,255,22,42,Tractor Red
2025-03-17 12:48:20,255,20,38,Tractor Red
2025-03-17 12:48:20,255,20,33,Tractor Red
2025-03-17 12:48:20,255,20,33,Tractor Red
2025-03-17 12:48:20,255,22,42,Tractor Red
2025-03-17 12:48:20,255,20,33,Tractor Red
2025-03-17 12:48:20,255,22,40,Tractor Red
2025-03-17 12:48:20,255,20,36,Tractor Red
2025-03-17 12:48:20,255,22,42,Tractor Red
2025-03-17 12:48:20,255,20,33,Tractor Red
2025-03-17 12:48:20,255,22,40,Tractor Red
2025-03-17 12:48:20,255,21,29,Blue (Ryb)
2025-03-17 12:48:20,255,22,44,Tractor Red
2025-03-17 12:48:20,255,25,36,Tractor Red
2025-03-17 12:48:20,255,22,42,Tractor Red
2025-03-17 12:48:20,255,27,43,Tractor Red
2025-03-17 12:48:21,255,25,38,Tractor Red
2025-03-17 12:48:21,255,22,38,Tractor Red
2025-03-17 12:48:21,255,23,34,Tractor Red
2025-03-17 12:48:21,255,22,40,Tractor Red
2025-03-17 12:48:21,255,23,43,Tractor Red
2025-03-17 12:48:21,255,26,37,Tractor Red
2025-03-17 12:48:21,255,30,43,Tractor Red
2025-03-17 12:48:21,255,26,28,Blue (Ryb)
2025-03-17 12:48:21,255,24,37,Tractor Red
2025-03-17 12:48:21,255,21,35,Tractor Red
2025-03-17 12:48:21,255,32,43,Tractor Red
2025-03-17 12:48:21,255,24,37,Tractor Red
2025-03-17 12:48:21,255,30,34,Blue (Ryb)
2025-03-17 12:48:21,255,37,36,Blue (Ryb)
2025-03-17 12:48:21,255,32,33,Blue (Ryb)
2025-03-17 12:48:21,255,36,38,Blue (Ryb)
2025-03-17 12:48:21,255,36,38,Blue (Ryb)
2025-03-17 12:48:21,255,29,31,Blue (Ryb)
2025-03-17 12:48:21,255,38,39,Blue (Ryb)
2025-03-17 12:48:21,255,39,36,Blue (Ryb)
2025-03-17 12:48:21,255,36,33,Blue (Ryb)
2025-03-17 12:48:21,255,36,33,Blue (Ryb)
